id,name,code,is_active,created_at,updated_at
5ddce675-5b9f-446b-89a9-8bee04c8dbc1,Tricorp,TRI,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5e218d5b-9ed3-44ea-a994-61370d65a536,Champion,CHP,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5f14fe19-1bb5-461b-8846-982f3bc7cf4e,Fruit of the Loom,FOL,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
5f37baa0-b26c-439b-a887-c409c98d2ec4,Anthem,ANT,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
61d60537-3f89-47e0-85b2-aedd065bb6a6,James & Nicholson,JN,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
63a09181-89b8-4dab-b32f-cc29b8d373c6,eAccess Solutions,EAC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
64547ebd-c96a-4bf7-b928-c4f0eaf91249,Steel Blue,STB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
657cc7aa-ac49-4239-b5d2-fce2d6cd04b6,Brunt,BRU,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
659dc3b9-f531-45f3-b99e-98aaa2e28c71,Ironclad,IRC,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
665c64f3-4a3c-4771-a1db-f26ce2287d4c,Black Stallion,BLS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
66a683a4-b2c7-4972-8023-562b6f0455d7,Blundstone,BLU,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
672f7285-1662-45e9-bdda-228b4c2f9644,Herock,HER,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
67e62dfc-71c6-4b28-90b6-927ceeef224b,FXD,FXD,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
682b05bd-a777-4b76-91e6-30c01b909b4f,Emma Safety Footwear,EMS,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6833fcc5-b7df-4182-a9f4-2abb3f626933,Alternative Apparel,ALA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6869880f-6f9b-4fa6-8bbd-35930a3232b7,247 Jeans,247,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
68d4c358-5456-46e0-afd9-0b51607702e1,Durango,DUR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
69869ae4-59c3-43d8-aa82-a1eb7f310f74,BOWINS Garment,BOW,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
69b96f0e-5f67-461a-a4f5-5c5cc3c61f80,Ben Davis,BEN,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6b54ccb8-bc40-440e-a01c-b4ba68c2f7be,Danton,DT,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6baf8d22-0b80-43c0-89d7-05abe8335367,Tingley,TIN,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6c62e614-0cde-4066-924f-a39b69418d8b,Workwear Outfitters,WO,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6c753027-0fed-4408-ba17-2f93a556d46f,Kariban,KAR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6e4ea2bd-9ac0-4d12-b540-fd1244eff113,Carhartt,CAR,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
6f26c865-1895-415c-924a-17ae0e1a4b2a,Grundens,GRU,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
70028a78-f1af-4118-aece-b30b2773de75,Regatta,REG,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
73f4a920-eed5-47f8-9f15-534a94c705e3,Henbury,HNB,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
748e002d-8c5f-402f-bcd6-e4c04aaa41d6,Port Authority,PA,true,2025-12-08 23:06:54.473914+00,2025-12-08 23:06:54.473914+00
